       Wavelength             Transmission
1.419354000000000005e+00 7.656292000000000306e-03
1.420772000000000146e+00 8.345576999999999857e-03
1.422190000000000065e+00 7.965619999999999645e-03
1.423610999999999960e+00 8.009930999999999648e-03
1.425031999999999854e+00 7.427926000000000493e-03
1.426455000000000028e+00 7.134340999999999773e-03
1.427878999999999898e+00 7.355319000000000787e-03
1.429305000000000048e+00 7.802350000000000431e-03
1.430731999999999893e+00 7.043342000000000179e-03
1.432161000000000017e+00 7.632179000000000220e-03
1.433591000000000060e+00 7.082578999999999438e-03
1.435022999999999938e+00 7.177468000000000216e-03
1.436455999999999955e+00 7.313502999999999844e-03
1.437889999999999890e+00 7.245384999999999152e-03
1.439326000000000105e+00 7.119223000000000044e-03
1.440763000000000016e+00 7.458641000000000229e-03
1.442201999999999984e+00 6.993390999999999844e-03
1.443641999999999870e+00 6.999446999999999787e-03
1.445083000000000117e+00 7.145192999999999336e-03
1.446525999999999978e+00 7.368641000000000427e-03
1.447970999999999897e+00 7.424776000000000119e-03
1.449416000000000038e+00 6.907604999999999822e-03
1.450863999999999931e+00 7.571158000000000575e-03
1.452312000000000047e+00 7.196167000000000709e-03
1.453762999999999916e+00 7.741548000000000873e-03
1.455214000000000008e+00 7.103972999999999538e-03
1.456666999999999934e+00 8.319351000000000870e-03
1.458122000000000140e+00 8.035012000000001098e-03
1.459578000000000042e+00 7.689407000000000533e-03
1.461035000000000084e+00 6.913085000000000237e-03
1.462493999999999961e+00 7.736608999999999327e-03
1.463954999999999895e+00 7.486705999999999223e-03
1.465416000000000052e+00 6.520970000000000065e-03
1.466879999999999962e+00 7.469845999999999604e-03
1.468343999999999872e+00 6.981503000000000014e-03
1.469810999999999979e+00 6.832691999999999585e-03
1.471278000000000086e+00 7.150392999999999680e-03
1.472747000000000028e+00 6.746587999999999544e-03
1.474218000000000028e+00 7.484876000000000550e-03
1.475689999999999946e+00 7.389542999999999286e-03
1.477164000000000144e+00 7.419491000000000280e-03
1.478639000000000037e+00 7.581575000000000987e-03
1.480115000000000069e+00 7.246926000000000756e-03
1.481592999999999938e+00 7.129074000000000001e-03
1.483071999999999946e+00 6.519342999999999493e-03
1.484553000000000011e+00 7.546121000000000252e-03
1.486035999999999913e+00 7.217497000000000669e-03
1.487520000000000175e+00 7.430092000000000120e-03
1.489004999999999912e+00 7.025228999999999155e-03
1.490491999999999928e+00 7.200263000000000149e-03
1.491979999999999862e+00 7.174747000000000416e-03
1.493470000000000075e+00 7.677150000000000640e-03
1.494960999999999984e+00 6.794550999999999369e-03
1.496453999999999951e+00 7.480529000000000518e-03
1.497947999999999835e+00 7.163369000000001027e-03
1.499443999999999999e+00 6.760448999999999972e-03
1.500940999999999859e+00 6.881211999999999399e-03
1.502439999999999998e+00 7.146539999999999837e-03
1.503940000000000055e+00 6.984128000000000037e-03
1.505441999999999947e+00 6.858707999999999819e-03
1.506945000000000201e+00 7.206088000000000250e-03
1.508449999999999847e+00 6.967197999999999967e-03
1.509956000000000076e+00 6.856420000000000223e-03
1.511463999999999919e+00 6.914072999999999747e-03
1.512973000000000123e+00 6.681539999999999702e-03
1.514483999999999941e+00 6.977564000000000335e-03
1.515996000000000121e+00 7.000283000000000373e-03
1.517509999999999915e+00 7.506473999999999092e-03
1.519025000000000070e+00 7.661516999999999633e-03
1.520542000000000060e+00 6.859626000000000612e-03
1.522059999999999969e+00 7.553762999999999797e-03
1.523579999999999934e+00 6.869649000000000241e-03
1.525101000000000040e+00 6.944533999999999603e-03
1.526623999999999981e+00 6.517146000000000571e-03
1.528148999999999980e+00 7.014620000000000057e-03
1.529675000000000118e+00 6.953764999999999773e-03
1.531201999999999952e+00 7.709531999999999843e-03
1.532731000000000066e+00 6.954069999999999696e-03
1.534262000000000015e+00 7.379841000000000699e-03
1.535794000000000104e+00 7.096535999999999643e-03
1.537326999999999888e+00 7.659593000000000131e-03
1.538861999999999952e+00 6.861180000000000577e-03
1.540399000000000074e+00 6.758628000000000031e-03
1.541936999999999891e+00 7.028106000000000110e-03
1.543476999999999988e+00 6.630525000000000828e-03
1.545018000000000002e+00 6.440096999999999662e-03
1.546560999999999853e+00 7.107788000000000300e-03
1.548105000000000064e+00 6.497049000000000400e-03
1.549651000000000112e+00 7.480164000000000951e-03
1.551198000000000077e+00 7.029276000000000101e-03
1.552747000000000099e+00 6.591300000000000457e-03
1.554297999999999957e+00 7.076230000000000193e-03
1.555850000000000177e+00 6.895991999999999227e-03
1.557403000000000093e+00 6.973555000000000205e-03
1.558957999999999844e+00 6.563961000000000101e-03
1.560514999999999874e+00 6.822922000000000362e-03
1.562073000000000045e+00 6.773565999999999962e-03
1.563633000000000051e+00 6.624904000000000036e-03
1.565193999999999974e+00 7.056235999999999585e-03
1.566756999999999955e+00 7.034880999999999773e-03
1.568321999999999994e+00 6.719722000000000021e-03
1.569888000000000172e+00 6.873843000000000140e-03
1.571454999999999824e+00 6.596163999999999847e-03
1.573023999999999978e+00 7.207500999999998971e-03
1.574594999999999967e+00 6.951978000000000150e-03
1.576166999999999874e+00 6.559437999999999901e-03
1.577741000000000060e+00 6.895580999999999586e-03
1.579316999999999860e+00 6.595246999999999395e-03
1.580894000000000021e+00 6.688817999999999153e-03
1.582471999999999879e+00 7.155299999999999855e-03
1.584052999999999933e+00 6.629542000000000421e-03
1.585633999999999988e+00 6.931486999999999198e-03
1.587218000000000018e+00 7.004416000000000288e-03
1.588802000000000048e+00 6.709656000000000474e-03
1.590389000000000053e+00 7.141063000000000445e-03
1.591976999999999975e+00 6.470327999999999150e-03
1.593566999999999956e+00 6.806650999999999500e-03
1.595158000000000076e+00 6.411362000000000311e-03
1.596751000000000031e+00 6.710787000000000176e-03
1.598344999999999905e+00 7.060189999999999175e-03
1.599941000000000058e+00 7.199862000000000449e-03
1.601539000000000046e+00 6.441330999999999793e-03
1.603137999999999952e+00 6.970323999999999964e-03
1.604739000000000138e+00 7.169824000000000856e-03
1.606341000000000019e+00 6.840905000000000423e-03
1.607945000000000180e+00 6.507414999999999901e-03
1.609550999999999954e+00 7.010345999999999765e-03
1.611158000000000090e+00 6.630194000000000712e-03
1.612767000000000062e+00 7.401360000000000924e-03
1.614376999999999951e+00 6.370961000000000506e-03
1.615988999999999898e+00 7.130428000000000287e-03
1.617603000000000124e+00 6.582820000000000511e-03
1.619218000000000046e+00 7.166824000000000458e-03
1.620835000000000026e+00 6.442898999999999328e-03
1.622452999999999923e+00 6.409732999999999056e-03
1.624072999999999878e+00 6.509825999999999807e-03
1.625695000000000112e+00 7.231200999999999601e-03
1.627318000000000042e+00 6.623287000000000271e-03
1.628942999999999808e+00 6.461162000000000329e-03
1.630569999999999853e+00 6.401620000000000227e-03
1.632198000000000038e+00 7.510073999999999396e-03
1.633828000000000058e+00 6.429740000000000628e-03
1.635458999999999996e+00 6.568148000000000215e-03
1.637091999999999992e+00 6.763845000000000100e-03
1.638727000000000045e+00 6.634020999999999495e-03
1.640363000000000016e+00 6.750304000000000373e-03
1.642001000000000044e+00 6.341812999999999097e-03
1.643641000000000130e+00 6.547385000000000184e-03
1.645282000000000133e+00 6.609453999999999850e-03
1.646924999999999972e+00 6.436553999999999713e-03
1.648570000000000091e+00 6.349770000000000240e-03
1.650215999999999905e+00 6.394591999999999291e-03
1.651863999999999999e+00 6.845978999999999433e-03
1.653513000000000011e+00 6.356201999999999165e-03
1.655163999999999858e+00 6.470135999999999596e-03
1.656816999999999984e+00 6.410097000000000017e-03
1.658471000000000029e+00 6.300227999999999731e-03
1.660126999999999908e+00 6.681188000000000231e-03
1.661784999999999846e+00 6.384418999999999685e-03
1.663443999999999923e+00 6.461649999999999339e-03
1.665105000000000057e+00 6.479991000000000917e-03
1.666768000000000027e+00 6.385764000000000370e-03
1.668431999999999915e+00 6.513168000000000603e-03
1.670098000000000082e+00 6.692267000000000007e-03
1.671765999999999863e+00 6.714083999999999504e-03
1.673435000000000006e+00 6.380439999999999376e-03
1.675105999999999984e+00 6.615928000000000087e-03
1.676779000000000019e+00 6.574383999999999957e-03
1.678452999999999973e+00 6.686368999999999299e-03
1.680128999999999984e+00 6.320843999999999942e-03
1.681806999999999830e+00 6.190853999999999975e-03
1.683486000000000038e+00 6.589273000000000526e-03
1.685166999999999859e+00 6.494498999999999932e-03
1.686849999999999961e+00 7.174894000000000237e-03
1.688534000000000201e+00 6.386893000000000258e-03
1.690220000000000056e+00 7.347681999999999478e-03
1.691907999999999967e+00 6.676319999999999477e-03
1.693597999999999937e+00 6.285228000000000342e-03
1.695289000000000046e+00 6.726138999999999903e-03
1.696981999999999990e+00 7.189733000000000235e-03
1.698675999999999853e+00 6.249675000000000542e-03
1.700371999999999995e+00 6.459466999999999987e-03
1.702069999999999972e+00 6.504354000000000385e-03
1.703770000000000007e+00 6.783705000000000117e-03
1.705470999999999959e+00 6.465551999999999411e-03
1.707173999999999969e+00 6.332381999999999247e-03
1.708878999999999815e+00 6.455235000000001007e-03
1.710585000000000022e+00 6.309221999999999747e-03
1.712292999999999843e+00 6.478671000000000083e-03
1.714003000000000165e+00 7.130530999999999849e-03
1.715713999999999961e+00 6.845641999999999873e-03
1.717427999999999955e+00 6.738448000000000181e-03
1.719142000000000170e+00 6.675147000000000198e-03
1.720859000000000139e+00 6.871157000000000133e-03
1.722577000000000025e+00 6.803797999999999790e-03
1.724298000000000108e+00 6.468688999999999689e-03
1.726018999999999970e+00 6.389643999999999879e-03
1.727742999999999807e+00 6.507564999999999877e-03
1.729468000000000005e+00 6.842697000000000015e-03
1.731194999999999817e+00 6.554342999999999801e-03
1.732923999999999909e+00 6.454782999999999528e-03
1.734654000000000140e+00 6.515334000000001097e-03
1.736385999999999985e+00 6.425603000000000217e-03
1.738120000000000109e+00 6.690998999999999558e-03
1.739855999999999847e+00 6.743280000000000801e-03
1.741592999999999947e+00 6.634944000000000258e-03
1.743331999999999882e+00 7.048632999999999461e-03
1.745072999999999874e+00 6.811886000000000503e-03
1.746815000000000007e+00 8.051753999999999509e-03
1.748558999999999974e+00 6.742702000000000591e-03
1.750305000000000000e+00 7.487483000000000506e-03
1.752053000000000083e+00 7.213737999999999054e-03
1.753803000000000001e+00 7.361832999999999919e-03
1.755554000000000059e+00 7.604052000000000033e-03
1.757307000000000174e+00 7.377475000000000525e-03
1.759062000000000126e+00 6.394796999999999808e-03
1.760817999999999994e+00 7.016462999999999693e-03
1.762576000000000143e+00 6.457863999999999792e-03
1.764335999999999904e+00 6.511721000000000696e-03
1.766098000000000168e+00 7.185764999999999340e-03
1.767862000000000045e+00 8.340666000000000052e-03
1.769627000000000061e+00 6.802567000000000683e-03
1.771393999999999913e+00 6.652525000000000278e-03
1.773163000000000045e+00 6.891108999999999429e-03
1.774933000000000094e+00 6.638087000000000848e-03
1.776706000000000119e+00 6.794841000000000249e-03
1.778480000000000061e+00 6.919665000000000191e-03
1.780256000000000061e+00 7.280294000000000522e-03
1.782032999999999978e+00 7.148317000000000386e-03
1.783812999999999871e+00 6.784297999999999371e-03
